ward_label,mean_walk_min,median_walk_min,p90_walk_min,pct_samples_within_10min,pct_samples_beyond_10min,gap_band,gap_index,stop_count,area_km2
69,3.8,3.7,6.5,100.0,0.0,moderate,36,5,1.049
35,3.8,3.8,6.4,100.0,0.0,low,22,12,1.689
36,3.8,3.3,7.2,100.0,0.0,low,20,12,1.376
34,3.8,3.6,6.7,100.0,0.0,low,17,21,2.442
168,3.8,3.6,6.9,100.0,0.0,low,13,30,3.563
8,3.7,3.1,6.4,100.0,0.0,moderate,33,5,0.724
57,3.6,3.1,7.1,100.0,0.0,moderate,39,6,0.908
122,3.6,3.1,7.2,100.0,0.0,low,13,24,1.815
161,3.5,3.1,6.4,100.0,0.0,low,23,7,0.79
10,3.4,2.8,6.3,100.0,0.0,moderate,37,5,0.522
78,3.4,3.5,5.6,100.0,0.0,moderate,31,6,0.672
92,3.4,3.4,5.8,100.0,0.0,moderate,28,14,1.04
141,3.4,3.4,6.1,100.0,0.0,moderate,25,9,0.778
111,3.4,2.8,6.9,100.0,0.0,low,22,28,2.717
126,3.4,3.1,6.0,100.0,0.0,low,20,10,1.04
72,3.3,3.1,7.0,100.0,0.0,moderate,42,9,1.318
175,3.3,3.2,6.1,100.0,0.0,moderate,35,18,1.431
163,3.3,3.7,4.9,100.0,0.0,moderate,25,8,0.759
185,3.3,3.2,5.2,100.0,0.0,moderate,25,8,0.946
28,3.3,3.4,6.1,100.0,0.0,low,15,20,1.311
68,3.3,2.9,6.5,100.0,0.0,low,15,17,1.391
164,3.2,3.0,5.3,100.0,0.0,high,56,6,0.603
131,3.2,3.3,5.5,100.0,0.0,moderate,44,4,1.045
38,3.2,3.1,6.2,100.0,0.0,low,22,10,1.801
178,3.2,3.2,6.3,100.0,0.0,low,4,19,2.702
120,3.1,3.2,5.7,100.0,0.0,moderate,44,2,0.534
136,3.1,2.6,6.2,100.0,0.0,low,20,10,1.195
114,3.1,2.5,6.6,100.0,0.0,low,13,20,1.759
9,3.0,2.6,8.1,100.0,0.0,moderate,43,10,0.681
113,3.0,2.8,4.9,100.0,0.0,moderate,28,22,1.69
45,3.0,2.9,5.1,100.0,0.0,low,20,11,1.14
5,3.0,2.8,6.3,100.0,0.0,low,17,19,2.319
125,3.0,3.1,5.4,100.0,0.0,low,15,21,1.239
33,2.9,3.1,4.2,100.0,0.0,high,50,7,0.687
138,2.9,2.7,5.6,100.0,0.0,moderate,40,21,1.263
119,2.9,2.8,5.3,100.0,0.0,moderate,35,24,1.387
139,2.9,2.8,4.6,100.0,0.0,moderate,31,11,0.724
115,2.9,3.0,4.8,100.0,0.0,moderate,25,7,0.852
41,2.9,2.8,5.0,100.0,0.0,low,18,10,0.892
63,2.9,2.2,5.9,100.0,0.0,low,18,12,0.964
59,2.9,2.4,6.7,100.0,0.0,low,5,42,2.816
20,2.9,2.6,5.1,100.0,0.0,low,3,12,0.637
123,2.9,2.8,5.5,100.0,0.0,low,2,25,2.24
117,2.8,2.7,5.8,100.0,0.0,moderate,42,14,1.327
128,2.8,2.7,5.0,100.0,0.0,moderate,35,25,1.597
56,2.8,2.8,4.3,100.0,0.0,moderate,31,6,0.567
39,2.8,2.8,5.4,100.0,0.0,moderate,25,9,1.042
76,2.8,2.9,5.2,100.0,0.0,low,23,8,0.615
133,2.8,2.6,5.7,100.0,0.0,low,15,26,1.838
137,2.7,2.8,5.0,100.0,0.0,moderate,40,24,1.621
58,2.7,2.4,5.6,100.0,0.0,low,2,28,2.594
52,2.7,2.5,4.9,100.0,0.0,low,0,16,1.036
71,2.6,2.6,4.9,100.0,0.0,moderate,27,14,1.534
40,2.6,2.1,5.0,100.0,0.0,low,18,15,1.067
167,2.6,2.7,4.2,100.0,0.0,low,15,18,1.135
142,2.6,2.4,4.7,100.0,0.0,low,5,16,1.066
99,2.5,2.4,4.8,100.0,0.0,moderate,30,17,1.299
73,2.5,2.3,5.1,100.0,0.0,low,20,11,0.928
49,2.5,2.6,4.0,100.0,0.0,low,18,11,0.78
61,2.5,2.1,4.7,100.0,0.0,low,15,27,2.218
116,2.5,2.7,4.6,100.0,0.0,low,5,18,0.68
121,2.4,2.3,4.7,100.0,0.0,moderate,25,14,0.924
77,2.3,1.9,4.3,100.0,0.0,low,18,10,0.574
135,2.3,2.3,4.0,100.0,0.0,low,15,25,1.478
14,2.2,2.4,3.6,100.0,0.0,low,18,10,0.668
62,1.9,1.9,3.6,100.0,0.0,low,5,15,0.833
11,1.7,1.6,3.0,100.0,0.0,moderate,38,7,0.634
