ward,gap_index,pt_index,gap_band,stop_gap,shelter_gap,hub_gap,density_gap,walk_gap,mean_walk_min,area_km2,stop_count,shelter_count,hub_count,stops_per_km2,median_walk_min,p90_walk_min,mean_network_m,pct_samples_within_5min,pct_samples_within_10min,mrts_station_count,cmrl_hub_count,railway_station_count,nearest_mrts_m,nearest_cmrl_m,nearest_railway_m
54,41,59.0,moderate,22,0,15,4,0,4.0,0.594,3,1,0,5.05,4.3,6.3,318.4,64.0,100.0,0,0,0,711.5,1215.4,681.4
83,41,59.0,moderate,0,25,5,7,4,7.8,6.632,20,0,1,3.02,6.9,15.8,620.0,29.8,76.3,1,0,1,1448.8,4790.9,1456.5
137,40,60.0,moderate,0,25,15,0,0,2.7,1.621,24,0,0,14.81,2.8,5.0,217.5,89.3,100.0,0,0,0,3722.5,3819.7,3733.4
138,40,60.0,moderate,0,25,15,0,0,2.9,1.263,21,0,0,16.63,2.7,5.6,235.5,81.0,100.0,0,0,0,2454.7,2748.5,2462.5
93,40,60.0,moderate,8,13,15,4,0,4.4,1.412,9,1,0,6.37,3.9,8.1,353.6,65.2,95.5,0,0,0,3878.5,1204.0,2718.4
150,39,61.0,moderate,0,20,15,4,0,4.5,3.535,21,1,0,5.94,3.9,8.9,363.1,67.1,94.0,0,0,0,7516.7,5989.1,7485.8
153,39,61.0,moderate,14,0,15,10,0,5.6,2.266,6,3,0,2.65,5.3,9.7,449.3,43.3,90.4,0,0,0,5406.3,5159.3,5402.8
57,39,61.0,moderate,14,6,15,4,0,3.6,0.908,6,1,0,6.61,3.1,7.1,291.0,74.4,100.0,0,0,0,1121.6,740.9,1097.6
86,39,61.0,moderate,0,20,15,4,0,4.8,6.25,37,1,0,5.92,4.4,8.9,384.8,59.9,93.5,0,0,0,2683.1,4353.4,2663.6
11,38,62.0,moderate,8,13,15,2,0,1.7,0.634,7,1,0,11.04,1.6,3.0,136.7,100.0,100.0,0,0,0,959.9,4485.8,931.0
21,38,62.0,moderate,8,0,15,7,8,8.2,1.87,8,3,0,4.28,4.4,24.8,658.0,66.7,76.2,0,0,0,2296.2,1548.1,2331.3
67,38,62.0,moderate,8,13,15,2,0,4.9,0.899,9,1,0,10.01,5.3,7.7,391.6,50.0,100.0,0,0,0,1391.0,4337.2,1425.3
10,37,63.0,moderate,14,6,15,2,0,3.4,0.522,5,1,0,9.58,2.8,6.3,273.4,72.0,100.0,0,0,1,538.6,3867.6,629.2
